,Finish,Start,Car #,Driver,Make,Pts,S1,S2,S3,Laps,Led,Status,Rating,Team,track,season
13,14,43,13.0,Casey Mears,Ford,30,,,,316,0,running,64.1,Germain Racing,Phoenix,2013
14,15,18,43.0,Aric Almirola,Ford,29,,,,316,0,running,85.9,Richard Petty Motorsports,Phoenix,2013
15,16,12,17.0,Ricky Stenhouse Jr.,Ford,28,,,,316,0,running,72.0,Roush Fenway Racing,Phoenix,2013
16,17,17,16.0,Greg Biffle,Ford,28,,,,316,39,running,86.0,Roush Fenway Racing,Phoenix,2013
17,18,22,9.0,Marcos Ambrose,Ford,26,,,,316,0,running,67.4,Richard Petty Motorsports,Phoenix,2013
18,19,2,5.0,Kasey Kahne,Chevrolet,25,,,,316,0,running,84.9,Hendrick Motorsports,Phoenix,2013
19,20,16,27.0,Paul Menard,Chevrolet,24,,,,316,0,running,70.9,Richard Childress Racing,Phoenix,2013
20,21,1,55.0,Mark Martin,Toyota,24,,,,316,75,running,91.9,Michael Waltrip Racing,Phoenix,2013
21,22,19,1.0,Jamie McMurray,Chevrolet,22,,,,316,0,running,68.3,Earnhardt Ganassi Racing,Phoenix,2013
22,23,4,18.0,Kyle Busch,Toyota,21,,,,316,0,running,60.3,Joe Gibbs Racing,Phoenix,2013
23,24,33,47.0,Bobby Labonte,Toyota,20,,,,315,0,running,55.0,JTG Daugherty Racing,Phoenix,2013
24,25,34,83.0,David Reutimann,Toyota,20,,,,315,1,running,49.4,BK Racing,Phoenix,2013
25,26,32,22.0,Joey Logano,Ford,18,,,,315,0,running,72.3,Penske Racing,Phoenix,2013
26,27,25,78.0,Kurt Busch,Chevrolet,17,,,,315,0,running,73.7,Furniture Row Racing,Phoenix,2013
27,28,27,36.0,J.J. Yeley,Chevrolet,16,,,,315,0,running,46.3,Tommy Baldwin Racing,Phoenix,2013
28,29,30,93.0,Travis Kvapil,Toyota,15,,,,313,0,running,41.4,BK Racing,Phoenix,2013
29,30,37,30.0,David Stremme,Toyota,14,,,,313,0,running,40.1,Swan Racing,Phoenix,2013
30,31,41,87.0,Joe Nemechek,Toyota,0,,,,311,0,running,35.6,NEMCO Motorsports,Phoenix,2013
31,32,38,33.0,Landon Cassill,Chevrolet,0,,,,309,0,running,35.1,Circle Sport,Phoenix,2013
32,33,26,7.0,Dave Blaney,Chevrolet,11,,,,306,0,running,38.2,Tommy Baldwin Racing,Phoenix,2013
33,34,42,32.0,Ken Schrader,Ford,10,,,,300,0,accident,29.8,FAS Lane Racing,Phoenix,2013
34,35,36,35.0,Josh Wise,Ford,0,,,,295,0,running,36.0,Front Row Motorsports,Phoenix,2013
35,36,14,56.0,Martin Truex Jr.,Toyota,8,,,,284,0,running,59.0,Michael Waltrip Racing,Phoenix,2013
36,37,31,38.0,David Gilliland,Ford,7,,,,237,0,accident,53.7,Front Row Motorsports,Phoenix,2013
37,38,24,34.0,David Ragan,Ford,7,,,,186,3,accident,46.5,Front Row Motorsports,Phoenix,2013
38,39,40,10.0,Danica Patrick,Chevrolet,5,,,,184,0,accident,44.2,Stewart-Haas Racing,Phoenix,2013
39,40,10,39.0,Ryan Newman,Chevrolet,4,,,,137,0,accident,53.5,Stewart-Haas Racing,Phoenix,2013
40,41,28,95.0,Scott Speed,Ford,3,,,,88,0,brakes,31.5,Leavine Family Racing,Phoenix,2013
41,42,35,19.0,Mike Bliss,Toyota,0,,,,34,0,brakes,28.4,TriStar Motorsports,Phoenix,2013
42,43,39,44.0,Scott Riggs,Ford,1,,,,19,0,accident,30.5,Xxxtreme Motorsports,Phoenix,2013
0,1,18,20.0,Matt Kenseth,Toyota,47,,,,267,42,running,120.9,Joe Gibbs Racing,LasVegas,2013
1,2,4,5.0,Kasey Kahne,Chevrolet,44,,,,267,114,running,138.9,Hendrick Motorsports,LasVegas,2013
2,3,1,2.0,Brad Keselowski,Ford,42,,,,267,12,running,118.3,Penske Racing,LasVegas,2013
3,4,13,18.0,Kyle Busch,Toyota,41,,,,267,27,running,118.5,Joe Gibbs Racing,LasVegas,2013
4,5,16,99.0,Carl Edwards,Ford,39,,,,267,0,running,103.9,Roush Fenway Racing,LasVegas,2013
5,6,3,48.0,Jimmie Johnson,Chevrolet,39,,,,267,66,running,123.7,Hendrick Motorsports,LasVegas,2013
6,7,12,88.0,Dale Earnhardt Jr.,Chevrolet,37,,,,267,0,running,103.9,Hendrick Motorsports,LasVegas,2013
7,8,11,56.0,Martin Truex Jr.,Toyota,36,,,,267,0,running,103.8,Michael Waltrip Racing,LasVegas,2013
8,9,8,29.0,Kevin Harvick,Chevrolet,35,,,,267,0,running,100.0,Richard Childress Racing,LasVegas,2013
9,10,17,27.0,Paul Menard,Chevrolet,34,,,,267,0,running,90.4,Richard Childress Racing,LasVegas,2013
10,11,9,14.0,Tony Stewart,Chevrolet,33,,,,267,0,running,79.9,Stewart-Haas Racing,LasVegas,2013
11,12,21,22.0,Joey Logano,Ford,32,,,,267,0,running,82.6,Penske Racing,LasVegas,2013
12,13,23,1.0,Jamie McMurray,Chevrolet,32,,,,267,2,running,86.8,Earnhardt Ganassi Racing,LasVegas,2013
13,14,15,55.0,Mark Martin,Toyota,30,,,,267,0,running,90.7,Michael Waltrip Racing,LasVegas,2013
14,15,6,11.0,Denny Hamlin,Toyota,30,,,,267,3,running,92.0,Joe Gibbs Racing,LasVegas,2013
15,16,22,43.0,Aric Almirola,Ford,28,,,,267,0,running,80.0,Richard Petty Motorsports,LasVegas,2013
16,17,5,16.0,Greg Biffle,Ford,27,,,,267,0,running,76.6,Roush Fenway Racing,LasVegas,2013
17,18,7,17.0,Ricky Stenhouse Jr.,Ford,27,,,,267,1,running,83.5,Roush Fenway Racing,LasVegas,2013
18,19,25,42.0,Juan Pablo Montoya,Chevrolet,25,,,,267,0,running,69.8,Earnhardt Ganassi Racing,LasVegas,2013
19,20,24,78.0,Kurt Busch,Chevrolet,24,,,,266,0,running,68.2,Furniture Row Racing,LasVegas,2013
20,21,27,51.0,Austin Dillon,Chevrolet,0,,,,266,0,running,66.9,Phoenix Racing,LasVegas,2013
21,22,19,9.0,Marcos Ambrose,Ford,22,,,,266,0,running,61.2,Richard Petty Motorsports,LasVegas,2013
22,23,36,21.0,Trevor Bayne,Ford,0,,,,266,0,running,63.4,Wood Brothers Racing,LasVegas,2013
23,24,33,7.0,Dave Blaney,Chevrolet,20,,,,266,0,running,55.1,Tommy Baldwin Racing,LasVegas,2013
24,25,10,24.0,Jeff Gordon,Chevrolet,19,,,,266,0,running,70.7,Hendrick Motorsports,LasVegas,2013
25,26,20,31.0,Jeff Burton,Chevrolet,18,,,,266,0,running,62.4,Richard Childress Racing,LasVegas,2013
26,27,2,15.0,Clint Bowyer,Toyota,17,,,,265,0,running,52.9,Michael Waltrip Racing,LasVegas,2013
27,28,31,38.0,David Gilliland,Ford,16,,,,265,0,running,54.7,Front Row Motorsports,LasVegas,2013
28,29,30,13.0,Casey Mears,Ford,15,,,,265,0,running,52.6,Germain Racing,LasVegas,2013
29,30,26,47.0,Bobby Labonte,Toyota,14,,,,263,0,running,49.2,JTG Daugherty Racing,LasVegas,2013
30,31,29,34.0,David Ragan,Ford,13,,,,263,0,running,44.1,Front Row Motorsports,LasVegas,2013
31,32,38,30.0,David Stremme,Toyota,12,,,,261,0,running,43.3,Swan Racing,LasVegas,2013
32,33,37,10.0,Danica Patrick,Chevrolet,11,,,,261,0,running,40.5,Stewart-Haas Racing,LasVegas,2013
33,34,32,83.0,David Reutimann,Toyota,10,,,,261,0,running,35.1,BK Racing,LasVegas,2013
34,35,43,35.0,Josh Wise,Ford,0,,,,260,0,running,34.5,Front Row Motorsports,LasVegas,2013
35,36,35,36.0,J.J. Yeley,Chevrolet,8,,,,259,0,running,36.9,Tommy Baldwin Racing,LasVegas,2013
36,37,34,32.0,Ken Schrader,Ford,7,,,,258,0,running,29.4,FAS Lane Racing,LasVegas,2013
37,38,14,39.0,Ryan Newman,Chevrolet,6,,,,234,0,engine,59.8,Stewart-Haas Racing,LasVegas,2013
38,39,28,93.0,Travis Kvapil,Toyota,5,,,,217,0,engine,37.2,BK Racing,LasVegas,2013
39,40,42,87.0,Joe Nemechek,Toyota,0,,,,216,0,running,26.4,NEMCO Motorsports,LasVegas,2013
40,41,40,95.0,Scott Speed,Ford,3,,,,143,0,transmission,36.9,Leavine Family Racing,LasVegas,2013
41,42,41,33.0,Landon Cassill,Chevrolet,0,,,,66,0,vibration,27.0,Circle Sport,LasVegas,2013
42,43,39,98.0,Michael McDowell,Ford,1,,,,21,0,vibration,27.8,Phil Parsons Racing,LasVegas,2013
0,1,2,5.0,Kasey Kahne,Chevrolet,47,,,,500,109,running,137.4,Hendrick Motorsports,Bristol,2013
1,2,1,18.0,Kyle Busch,Toyota,43,,,,500,56,running,114.3,Joe Gibbs Racing,Bristol,2013
2,3,7,2.0,Brad Keselowski,Ford,42,,,,500,62,running,108.4,Penske Racing,Bristol,2013
3,4,19,78.0,Kurt Busch,Chevrolet,41,,,,500,1,running,106.1,Furniture Row Racing,Bristol,2013
4,5,23,15.0,Clint Bowyer,Toyota,39,,,,500,0,running,97.6,Michael Waltrip Racing,Bristol,2013
5,6,32,88.0,Dale Earnhardt Jr.,Chevrolet,38,,,,500,0,running,89.2,Hendrick Motorsports,Bristol,2013
6,7,31,39.0,Ryan Newman,Chevrolet,37,,,,500,0,running,83.6,Stewart-Haas Racing,Bristol,2013
7,8,4,55.0,Brian Vickers,Toyota,0,,,,500,0,running,82.6,Michael Waltrip Racing,Bristol,2013
8,9,5,27.0,Paul Menard,Chevrolet,36,,,,500,1,running,90.9,Richard Childress Racing,Bristol,2013
9,10,6,1.0,Jamie McMurray,Chevrolet,34,,,,500,0,running,82.2,Earnhardt Ganassi Racing,Bristol,2013
10,11,24,16.0,Greg Biffle,Ford,33,,,,500,0,running,90.5,Roush Fenway Racing,Bristol,2013
11,12,9,56.0,Martin Truex Jr.,Toyota,32,,,,500,0,running,90.4,Michael Waltrip Racing,Bristol,2013
12,13,29,51.0,A.J. Allmendinger,Chevrolet,31,,,,500,0,running,75.1,Phoenix Racing,Bristol,2013
13,14,18,29.0,Kevin Harvick,Chevrolet,30,,,,500,0,running,99.2,Richard Childress Racing,Bristol,2013
14,15,15,13.0,Casey Mears,Ford,29,,,,500,0,running,72.2,Germain Racing,Bristol,2013
15,16,28,17.0,Ricky Stenhouse Jr.,Ford,28,,,,500,0,running,71.6,Roush Fenway Racing,Bristol,2013
16,17,10,22.0,Joey Logano,Ford,28,,,,500,1,running,89.9,Penske Racing,Bristol,2013
17,18,21,99.0,Carl Edwards,Ford,26,,,,499,0,running,59.4,Roush Fenway Racing,Bristol,2013
18,19,22,9.0,Marcos Ambrose,Ford,25,,,,499,0,running,64.2,Richard Petty Motorsports,Bristol,2013
19,20,26,30.0,David Stremme,Toyota,24,,,,498,0,running,56.3,Swan Racing,Bristol,2013
20,21,30,34.0,David Ragan,Ford,24,,,,498,2,running,51.7,Front Row Motorsports,Bristol,2013
21,22,13,48.0,Jimmie Johnson,Chevrolet,22,,,,498,0,running,93.3,Hendrick Motorsports,Bristol,2013
22,23,3,11.0,Denny Hamlin,Toyota,23,,,,498,117,running,103.7,Joe Gibbs Racing,Bristol,2013
23,24,14,38.0,David Gilliland,Ford,20,,,,496,0,running,66.5,Front Row Motorsports,Bristol,2013
24,25,43,32.0,Terry Labonte,Ford,19,,,,496,0,running,38.2,FAS Lane Racing,Bristol,2013
25,26,40,35.0,Josh Wise,Ford,0,,,,496,0,running,46.4,Front Row Motorsports,Bristol,2013
26,27,35,36.0,J.J. Yeley,Chevrolet,17,,,,495,0,running,56.1,Tommy Baldwin Racing,Bristol,2013
27,28,41,10.0,Danica Patrick,Chevrolet,16,,,,495,0,running,41.4,Stewart-Haas Racing,Bristol,2013
28,29,38,87.0,Joe Nemechek,Toyota,0,,,,490,0,running,34.4,NEMCO Motorsports,Bristol,2013
29,30,17,42.0,Juan Pablo Montoya,Chevrolet,14,,,,487,0,running,59.1,Earnhardt Ganassi Racing,Bristol,2013
30,31,8,14.0,Tony Stewart,Chevrolet,13,,,,464,0,running,32.5,Stewart-Haas Racing,Bristol,2013
31,32,16,31.0,Jeff Burton,Chevrolet,12,,,,458,0,running,39.9,Richard Childress Racing,Bristol,2013
32,33,42,33.0,Landon Cassill,Chevrolet,0,,,,410,0,running,35.0,Circle Sport,Bristol,2013
33,34,11,24.0,Jeff Gordon,Chevrolet,11,,,,390,66,accident,99.8,Hendrick Motorsports,Bristol,2013
34,35,12,20.0,Matt Kenseth,Toyota,10,,,,390,85,accident,102.8,Joe Gibbs Racing,Bristol,2013
35,36,33,7.0,Dave Blaney,Chevrolet,8,,,,321,0,accident,54.5,Tommy Baldwin Racing,Bristol,2013
36,37,20,43.0,Aric Almirola,Ford,7,,,,245,0,accident,57.6,Richard Petty Motorsports,Bristol,2013
37,38,37,93.0,Travis Kvapil,Toyota,6,,,,234,0,engine,53.0,BK Racing,Bristol,2013
38,39,25,83.0,David Reutimann,Toyota,5,,,,184,0,engine,41.6,BK Racing,Bristol,2013
39,40,27,95.0,Scott Speed,Ford,4,,,,184,0,electrical,32.5,Leavine Family Racing,Bristol,2013
40,41,39,47.0,Bobby Labonte,Toyota,3,,,,159,0,engine,43.1,JTG Daugherty Racing,Bristol,2013
41,42,34,98.0,Michael McDowell,Ford,2,,,,26,0,accident,29.4,Phil Parsons Racing,Bristol,2013
42,43,36,19.0,Mike Bliss,Toyota,0,,,,3,0,engine,26.8,TriStar Motorsports,Bristol,2013
0,1,4,18.0,Kyle Busch,Toyota,48,,,,200,125,running,148.0,Joe Gibbs Racing,California(AutoClub),2013
1,2,15,88.0,Dale Earnhardt Jr.,Chevrolet,42,,,,200,0,running,104.1,Hendrick Motorsports,California(AutoClub),2013
2,3,6,22.0,Joey Logano,Ford,42,,,,200,41,running,127.0,Penske Racing,California(AutoClub),2013
3,4,24,99.0,Carl Edwards,Ford,40,,,,200,0,running,98.2,Roush Fenway Racing,California(AutoClub),2013
4,5,10,78.0,Kurt Busch,Chevrolet,39,,,,200,0,running,95.5,Furniture Row Racing,California(AutoClub),2013
5,6,2,16.0,Greg Biffle,Ford,38,,,,200,0,running,94.2,Roush Fenway Racing,California(AutoClub),2013
6,7,5,20.0,Matt Kenseth,Toyota,38,,,,200,10,running,108.6,Joe Gibbs Racing,California(AutoClub),2013
7,8,27,27.0,Paul Menard,Chevrolet,36,,,,200,0,running,85.4,Richard Childress Racing,California(AutoClub),2013
8,9,16,5.0,Kasey Kahne,Chevrolet,35,,,,200,0,running,97.1,Hendrick Motorsports,California(AutoClub),2013
9,10,20,39.0,Ryan Newman,Chevrolet,34,,,,200,0,running,81.7,Stewart-Haas Racing,California(AutoClub),2013
10,11,19,24.0,Jeff Gordon,Chevrolet,33,,,,200,0,running,75.2,Hendrick Motorsports,California(AutoClub),2013
11,12,18,48.0,Jimmie Johnson,Chevrolet,32,,,,200,0,running,81.2,Hendrick Motorsports,California(AutoClub),2013
12,13,14,29.0,Kevin Harvick,Chevrolet,32,,,,200,1,running,110.4,Richard Childress Racing,California(AutoClub),2013
13,14,23,43.0,Aric Almirola,Ford,30,,,,200,0,running,70.2,Richard Petty Motorsports,California(AutoClub),2013
14,15,11,13.0,Casey Mears,Ford,29,,,,200,0,running,66.1,Germain Racing,California(AutoClub),2013
15,16,26,51.0,A.J. Allmendinger,Chevrolet,28,,,,200,0,running,75.7,Phoenix Racing,California(AutoClub),2013
16,17,22,31.0,Jeff Burton,Chevrolet,27,,,,200,0,running,65.1,Richard Childress Racing,California(AutoClub),2013
17,18,7,56.0,Martin Truex Jr.,Toyota,26,,,,200,0,running,85.7,Michael Waltrip Racing,California(AutoClub),2013
18,19,17,1.0,Jamie McMurray,Chevrolet,25,,,,200,0,running,80.5,Earnhardt Ganassi Racing,California(AutoClub),2013
19,20,31,17.0,Ricky Stenhouse Jr.,Ford,24,,,,200,0,running,66.1,Roush Fenway Racing,California(AutoClub),2013
20,21,29,7.0,Dave Blaney,Chevrolet,23,,,,200,0,running,55.1,Tommy Baldwin Racing,California(AutoClub),2013
21,22,8,14.0,Tony Stewart,Chevrolet,23,,,,200,18,running,95.3,Stewart-Haas Racing,California(AutoClub),2013
22,23,3,2.0,Brad Keselowski,Ford,21,,,,200,0,running,77.5,Penske Racing,California(AutoClub),2013
23,24,42,34.0,David Ragan,Ford,21,,,,200,1,running,53.2,Front Row Motorsports,California(AutoClub),2013
24,25,1,11.0,Denny Hamlin,Toyota,20,,,,199,3,accident,101.6,Joe Gibbs Racing,California(AutoClub),2013
25,26,40,10.0,Danica Patrick,Chevrolet,18,,,,199,0,running,44.2,Stewart-Haas Racing,California(AutoClub),2013
26,27,37,36.0,J.J. Yeley,Chevrolet,17,,,,199,0,running,46.3,Tommy Baldwin Racing,California(AutoClub),2013
27,28,25,47.0,Bobby Labonte,Toyota,16,,,,198,0,running,50.1,JTG Daugherty Racing,California(AutoClub),2013
28,29,34,38.0,David Gilliland,Ford,15,,,,198,0,running,46.4,Front Row Motorsports,California(AutoClub),2013
29,30,36,33.0,Landon Cassill,Chevrolet,0,,,,194,0,running,36.5,Circle Sport,California(AutoClub),2013
30,31,32,30.0,David Stremme,Toyota,13,,,,193,0,running,34.7,Swan Racing,California(AutoClub),2013
31,32,43,87.0,Joe Nemechek,Toyota,0,,,,193,0,running,29.8,NEMCO Motorsports,California(AutoClub),2013
32,33,28,83.0,David Reutimann,Toyota,11,,,,192,0,oil leak,51.4,BK Racing,California(AutoClub),2013
33,34,33,93.0,Travis Kvapil,Toyota,11,,,,188,1,running,42.0,BK Racing,California(AutoClub),2013
34,35,13,15.0,Clint Bowyer,Toyota,9,,,,184,0,engine,88.1,Michael Waltrip Racing,California(AutoClub),2013
35,36,21,9.0,Marcos Ambrose,Ford,8,,,,182,0,running,55.5,Richard Petty Motorsports,California(AutoClub),2013
36,37,9,55.0,Mark Martin,Toyota,7,,,,179,0,running,62.4,Michael Waltrip Racing,California(AutoClub),2013
37,38,12,42.0,Juan Pablo Montoya,Chevrolet,6,,,,169,0,running,59.0,Earnhardt Ganassi Racing,California(AutoClub),2013
38,39,39,32.0,Timmy Hill,Ford,5,,,,108,0,rear gear,28.9,FAS Lane Racing,California(AutoClub),2013
39,40,30,35.0,Josh Wise,Ford,0,,,,103,0,overheating,40.1,Front Row Motorsports,California(AutoClub),2013
40,41,38,44.0,Scott Riggs,Ford,3,,,,66,0,vibration,27.1,Xxxtreme Motorsports,California(AutoClub),2013
41,42,35,98.0,Michael McDowell,Ford,2,,,,60,0,vibration,33.0,Phil Parsons Racing,California(AutoClub),2013
42,43,41,19.0,Mike Bliss,Toyota,0,,,,44,0,fuel pump,27.4,TriStar Motorsports,California(AutoClub),2013
0,1,1,48.0,Jimmie Johnson,Chevrolet,48,,,,500,346,running,148.4,Hendrick Motorsports,Martinsville,2013
1,2,15,15.0,Clint Bowyer,Toyota,42,,,,500,0,running,107.6,Michael Waltrip Racing,Martinsville,2013
2,3,6,24.0,Jeff Gordon,Chevrolet,41,,,,500,0,running,117.2,Hendrick Motorsports,Martinsville,2013
3,4,5,5.0,Kasey Kahne,Chevrolet,40,,,,500,0,running,112.8,Hendrick Motorsports,Martinsville,2013
4,5,11,18.0,Kyle Busch,Toyota,40,,,,500,56,running,118.5,Joe Gibbs Racing,Martinsville,2013
5,6,7,2.0,Brad Keselowski,Ford,38,,,,500,0,running,104.9,Penske Racing,Martinsville,2013
6,7,13,1.0,Jamie McMurray,Chevrolet,37,,,,500,0,running,105.3,Earnhardt Ganassi Racing,Martinsville,2013
7,8,2,9.0,Marcos Ambrose,Ford,37,,,,500,1,running,86.5,Richard Petty Motorsports,Martinsville,2013
8,9,22,16.0,Greg Biffle,Ford,35,,,,500,0,running,83.9,Roush Fenway Racing,Martinsville,2013
9,10,35,11.0,Mark Martin,Toyota,34,,,,500,0,running,73.9,Joe Gibbs Racing,Martinsville,2013
10,11,3,55.0,Brian Vickers,Toyota,0,,,,500,0,running,95.0,Michael Waltrip Racing,Martinsville,2013
11,12,32,10.0,Danica Patrick,Chevrolet,32,,,,500,0,running,72.6,Stewart-Haas Racing,Martinsville,2013
12,13,21,29.0,Kevin Harvick,Chevrolet,31,,,,500,0,running,96.3,Richard Childress Racing,Martinsville,2013
13,14,8,20.0,Matt Kenseth,Toyota,31,,,,500,96,running,114.2,Joe Gibbs Racing,Martinsville,2013
14,15,9,99.0,Carl Edwards,Ford,29,,,,500,0,running,75.5,Roush Fenway Racing,Martinsville,2013
15,16,41,13.0,Casey Mears,Ford,28,,,,500,0,running,68.0,Germain Racing,Martinsville,2013
16,17,26,14.0,Tony Stewart,Chevrolet,27,,,,500,0,running,79.6,Stewart-Haas Racing,Martinsville,2013
17,18,29,31.0,Jeff Burton,Chevrolet,26,,,,500,0,running,83.3,Richard Childress Racing,Martinsville,2013
18,19,16,27.0,Paul Menard,Chevrolet,25,,,,500,0,running,68.6,Richard Childress Racing,Martinsville,2013
19,20,34,43.0,Aric Almirola,Ford,24,,,,500,0,running,68.9,Richard Petty Motorsports,Martinsville,2013
